ID,Airline,FlightNo,Departure,Arrival,DepTime
408,EG,EGF2776,ORD,DSM, 11:25AM 
409,EG,EGF3445,ORD,CLE, 11:25AM 
410,CH,CHQ5361,ORD,CVG, 11:25AM 
411,RP,RPA4254,ORD,STL, 11:25AM 
412,EG,EGF3746,ORD,TVC, 11:30AM 
413,TC,TCF5942,ORD,LGA, 11:30AM 
414,DA,DAL1660,ORD,ATL, 11:30AM 
415,AA,AAL2233,ORD,MMPR, 11:30AM 
416,AS,ASQ4532,ORD,SDF, 11:33AM 
417,RP,RPA4342,ORD,MSP, 11:35AM 
418,AS,ASQ5858,ORD,ORF, 11:37AM 
419,FL,FLG3520,ORD,JFK, 11:38AM 
420,EG,EGF2784,ORD,PIT, 11:40AM 
421,KA,KAL38,ORD,RKSI, 11:40AM 
422,EG,EGF3040,ORD,BWI, 11:40AM 
423,WB,WBR2503,ORD,DEC, 11:40AM 
424,EG,EGF3298,ORD,DTW, 11:45AM 
425,CH,CHQ5322,ORD,MSN, 11:45AM 
426,EG,EGF3312,ORD,MCI, 11:45AM 
427,EG,EGF3513,ORD,ROC, 11:45AM 
428,EG,EGF3729,ORD,MEM, 11:45AM 
429,AA,AAL1679,ORD,TPA, 11:50AM 
430,CH,CHQ5299,ORD,GRR, 11:50AM 
431,LO,LOF3390,ORD,CLE, 11:50AM 
432,TC,TCF3533,ORD,LGA, 11:55AM 
433,EG,EGF2824,ORD,OKC, 11:55AM 
434,AS,ASQ6131,ORD,ATW, 11:55AM 
435,AW,AWE758,ORD,PHL, 11:55AM 
436,AS,ASQ4162,ORD,FAR, 11:55AM 
437,SK,SKW5260,ORD,SGF, 11:55AM 
438,SK,SKW5364,ORD,MKE, 11:55AM 
439,CH,CHQ4986,ORD,MSN, 11:55AM 
440,EG,EGF3068,ORD,OMA, 11:55AM 
441,AS,ASH3795,ORD,BOS, 11:55AM 
442,RP,RPA4332,ORD,ELP, 11:55AM 
443,UA,UAL393,ORD,PHX, 11:55AM 
444,UA,UAL851,ORD,ZBAA, 11:55AM 
445,UA,UAL549,ORD,PDX, 11:55AM 
446,SK,SKW5194,ORD,SAT, 11:56AM 
447,UA,UAL1659,ORD,LAS, 11:57AM 
448,AS,ASQ4861,ORD,FSD, 11:58AM 
449,LO,LOF3349,ORD,STL, 11:59AM 
450,SK,SKW5211,ORD,ASE, 11:59AM 
451,UA,UAL395,ORD,SAN, 11:59AM 
452,TC,TCF3578,ORD,DCA, 12:00PM 
453,UA,UAL1718,ORD,LAX, 12:00PM 
454,UA,UAL1020,ORD,IAH, 12:02PM 
455,UA,UAL1202,ORD,SEA, 12:02PM 
456,AS,ASQ6125,ORD,IND, 12:02PM 
457,UA,UAL881,ORD,RJAA, 12:05PM 
458,CH,CHQ5281,ORD,CID, 12:05PM 
459,AS,ASQ5928,ORD,YWG, 12:05PM 
460,TC,TCF3471,ORD,EWR, 12:05PM 
461,LO,LOF3419,ORD,CMH, 12:05PM 
462,AS,ASQ5931,ORD,JAN, 12:06PM 
463,SK,SKW5236,ORD,OKC, 12:10PM 
464,AW,AWE2070,ORD,CLT, 12:10PM 
465,DA,DAL2455,ORD,MSP, 12:10PM 
466,UA,UAL1566,ORD,PSP, 12:10PM 
467,UA,UAL245,ORD,DEN, 12:10PM 
468,AS,ASQ6062,ORD,COS, 12:10PM 
469,GJ,GJS3663,ORD,MSY, 12:10PM 
470,FL,FLG3664,ORD,DTW, 12:10PM 
471,RP,RPA4316,ORD,DCA, 12:15PM 
472,FL,FLG3316,ORD,MEM, 12:15PM 
473,AA,AAL1657,ORD,LAX, 12:15PM 
474,AA,AAL2323,ORD,DFW, 12:20PM 
475,AA,AAL1044,ORD,MIA, 12:20PM 
476,AS,ASQ4484,ORD,OMA, 12:20PM 
477,AS,ASQ4458,ORD,CID, 12:20PM 
478,RP,RPA4236,ORD,ATL, 12:20PM 
479,EG,EGF3131,ORD,BNA, 12:25PM 
480,CH,CHQ5338,ORD,AZO, 12:25PM 
481,EG,EGF3105,ORD,XNA, 12:25PM 
482,AA,AAL2408,ORD,AUS, 12:25PM 
483,AA,AAL153,ORD,RJAA, 12:25PM 
484,TC,TCF3501,ORD,MSP, 12:25PM 
485,SK,SKW6316,ORD,DFW, 12:27PM 
486,TC,TCF5944,ORD,LGA, 12:30PM 
487,LO,LOF3397,ORD,MEM, 12:32PM 
488,CH,CHQ5350,ORD,PIA, 12:35PM 
489,AA,AAL1418,ORD,RSW, 12:40PM 
490,EG,EGF3748,ORD,EWR, 12:40PM 
491,EG,EGF3289,ORD,SUX, 12:45PM 
492,DA,DAL393,ORD,ATL, 12:45PM 
493,CH,CHQ5272,ORD,RST, 12:45PM 
494,EG,EGF2837,ORD,SLC, 12:45PM 
495,EG,EGF3076,ORD,CLE, 12:45PM 
496,CK,CKK228,ORD,ANC, 12:45PM 
497,SK,SKW5259,ORD,LNK, 12:48PM 
498,TC,TCF3473,ORD,SLC, 12:48PM 
499,EG,EGF3297,ORD,LIT, 12:50PM 
500,CH,CHQ5349,ORD,HPN, 12:50PM 
501,AA,AAL366,ORD,LGA, 12:50PM 
502,LO,LOF3399,ORD,ICT, 12:52PM 
503,AS,ASQ6159,ORD,MCI, 12:52PM 
504,AS,ASQ5853,ORD,GRB, 12:57PM 
505,UA,UAL1507,ORD,EWR, 1:00PM 
506,JB,JBU312,ORD,BOS, 1:00PM 
507,EG,EGF2751,ORD,JAX, 1:00PM 
508,UA,UAL682,ORD,LGA, 1:00PM 
509,AA,AAL198,ORD,JFK, 1:00PM 
510,FL,FLG3777,ORD,CVG, 1:00PM 
511,AA,AAL171,ORD,LAS, 1:00PM 
512,EG,EGF2905,ORD,CMH, 1:00PM 
513,AS,ASQ6188,ORD,CRW, 1:02PM 
